BsmtFinSF1,GarageArea,GrLivArea,OverallQual,TotalBsmtSF
48,774,1828,9,1822
0,308,894,5,894
713,432,964,5,876
1218,857,1689,8,1568
0,843,1541,7,1541
410,400,1221,7,1221
643,440,1324,6,1088
604,484,1416,7,696
462,297,988,4,462
375,440,1218,6,735
0,397,1656,7,746
20,460,1362,6,1362
0,442,1839,6,756
0,451,1375,6,1367
144,528,1122,5,924
680,588,1432,5,1360
0,400,1456,7,728
611,497,1217,7,1188
0,625,1040,5,0
294,528,1224,6,612
0,468,1774,7,952
241,384,1367,5,861
0,297,1360,5,803
697,420,848,6,848
871,749,2262,8,1482
836,396,1220,4,836
0,398,1414,7,1375
319,396,2058,6,735
0,0,1198,6,901
1158,499,1659,8,1501
0,308,1012,6,1012
523,672,3082,7,824
0,672,1812,5,360
738,650,1929,7,1057
483,576,954,5,911
1260,765,1838,9,1838
728,924,1640,6,1296
1148,672,1148,5,1148
412,280,950,5,950
380,471,1911,8,777
300,440,1635,6,1065
0,440,1316,7,1316
0,615,1442,6,1442
734,500,1078,5,1078
932,544,1120,4,1040
353,527,1419,8,408
0,240,1389,7,651
354,280,1063,5,1056
1567,874,1792,9,1792
897,402,1216,6,1216
0,576,1762,7,596
0,434,1959,7,847
767,546,1208,6,1208
460,315,1524,5,874
735,240,1154,4,796
0,420,1048,5,0
0,273,886,5,190
943,600,943,5,943
400,603,1768,7,866
0,779,2599,9,1393
456,275,912,5,912
0,308,882,5,0
266,511,1337,6,1405
1386,850,2076,10,2076
56,752,2531,8,1318
569,240,1768,5,731
1573,538,1625,8,1573
697,389,2144,6,1444
0,880,2775,10,1237
0,477,1868,6,585
1400,541,1525,7,1525
0,722,1571,8,1571
0,0,796,5,796
0,432,2372,5,994
0,402,1472,7,384
648,364,960,4,648
0,372,1838,5,732
663,484,1309,6,1040
0,694,2643,9,2153
0,200,1131,5,676
0,400,1960,5,960
25,336,1144,5,1144
1056,576,1056,6,1056
0,0,693,4,693
1200,576,1494,6,1479
1373,482,1646,8,1594
390,352,864,5,864
1078,750,1566,8,1566
593,497,1395,6,723
152,539,1208,4,780
0,180,1513,5,939
425,560,1367,6,884
763,386,955,5,955
0,210,1077,3,1007
1056,572,1056,5,1056
0,615,1553,7,756
20,865,1614,7,1614
0,1390,2042,8,2042
0,326,1073,5,1073
336,240,1285,5,672
865,550,2117,6,1205
348,0,605,4,528
179,300,1150,5,1150
0,400,1456,6,728
867,588,999,7,944
0,564,1500,6,750
841,375,1336,5,1165
759,398,1593,6,839
936,836,2184,9,1104
0,573,1560,7,1560
386,312,1644,5,728
515,286,630,4,630
751,504,1113,6,1143
0,947,2172,7,1063
0,384,1346,4,560
64,550,2610,8,1184
0,936,1958,7,1026
0,898,1468,8,1468
0,539,1734,5,0
352,240,1200,5,768
812,438,1550,7,1092
0,440,2230,4,795
0,240,1639,6,1064
521,624,864,5,864
213,440,1621,7,1208
162,264,987,6,483
965,628,2519,7,1210
765,440,1365,5,765
0,779,2290,8,1128
0,840,2596,9,1249
288,352,907,4,907
566,440,1456,6,855
803,540,1190,5,1106
322,684,858,4,858
1880,516,2223,7,2223
0,672,1005,4,1005
0,409,1895,7,712
906,384,1040,5,1040
697,461,1264,5,1268
0,578,1761,7,874
539,888,1034,6,1012
226,439,1363,7,1385
0,480,1689,6,1436
1696,839,2113,8,2109
788,544,1573,7,1573
2188,820,2364,9,2330
739,645,2034,7,1057
1003,431,1291,6,1291
696,0,858,5,858
204,280,1258,6,560
290,246,438,2,290
209,440,1400,6,672
0,240,954,5,920
564,645,1445,6,1127
459,525,1072,6,547
0,0,1664,5,0
0,441,2134,6,844
428,380,3194,8,965
0,0,1824,6,912
742,422,1756,6,872
595,576,912,5,912
783,600,1509,6,1461
264,216,1608,6,976
28,397,1316,6,1316
489,450,1015,5,768
312,240,1134,5,756
63,865,1636,8,1623
0,400,1320,7,660
249,538,2126,5,1013
776,525,1128,5,1120
860,756,1306,5,992
0,0,1344,4,546
0,704,2554,7,718
220,576,893,5,845
0,668,1933,6,894
356,264,1218,6,672
0,534,1969,7,808
1079,556,2090,8,1220
998,487,1484,5,1484
0,506,1656,5,1656
468,210,1224,6,818
695,390,2054,6,992
0,576,854,7,832
334,286,1092,4,546
196,252,1268,5,1268
385,550,1661,7,799
370,502,1668,8,1657
994,508,1493,6,1478
0,306,932,6,932
778,526,1277,7,1277
1300,630,1530,7,1530
457,484,1344,5,1024
672,528,860,5,840
904,626,1314,7,1314
464,868,1962,7,1391
724,388,1490,7,788
662,420,848,6,848
0,240,672,5,672
275,252,2340,7,1152
0,180,1656,5,660
626,484,1479,7,725
0,740,1226,7,1226
568,444,2087,6,832
941,576,1158,6,1158
740,480,1154,5,1154
0,527,1724,7,880
219,431,1658,6,773
0,520,1126,4,0
0,300,1393,5,816
192,1014,3447,8,728
309,264,987,6,483
351,0,1355,5,644
425,505,2069,7,585
549,440,1501,7,744
1350,908,1976,8,1976
33,758,1563,8,1563
0,288,1111,7,572
0,270,1502,7,776
0,452,1733,3,0
1410,706,2728,9,1848
231,264,1302,5,630
1258,586,1524,7,1332
0,680,1588,4,0
0,430,1125,5,1125
0,480,1200,7,600
0,520,1640,6,798
1000,525,2127,7,1223
680,240,972,6,972
584,466,2020,8,1128
739,596,1144,5,1144
300,288,1352,5,1062
234,484,1316,5,926
956,592,1924,8,1086
1040,240,1164,5,1164
852,840,952,5,952
259,0,2358,8,684
808,540,1680,6,880
0,672,1912,6,482
578,480,1004,6,1004
384,305,1230,4,747
645,495,1167,5,915
405,440,1301,5,1145
1082,445,1453,7,1453
1358,670,1601,8,1581
0,825,1588,8,1588
513,264,1095,6,588
915,368,1050,5,1050
520,432,960,4,960
0,280,1456,5,810
0,462,1489,6,1489
1126,786,1726,7,1726
0,484,2082,7,1362
1053,484,1339,7,1309
781,1069,2450,8,1284
0,660,1863,7,879
656,396,768,5,768
0,0,334,1,0
892,384,1136,6,1136
1201,405,1337,6,1237
312,288,912,5,912
540,264,1812,5,864
378,240,2192,5,720
0,0,1184,5,658
0,308,1889,7,925
405,624,1327,5,1063
588,576,1422,6,1422
0,576,1632,5,1632
0,451,1630,7,1630
0,0,1526,3,1013
0,420,1040,4,0
0,216,1647,6,806
622,576,1981,4,1122
1285,418,1644,6,1416
0,868,2574,8,1482
0,520,1824,6,764
624,520,1350,6,1248
958,440,958,6,958
0,370,1848,6,833
1116,490,1620,4,1281
560,400,1167,6,1158
94,220,1487,6,735
432,288,892,5,892
510,240,804,5,788
0,0,1140,5,1140
400,483,1796,6,780
156,551,2030,6,848
765,812,2007,10,1017
0,216,691,5,691
0,676,1590,8,768
444,325,1855,6,994
0,442,1804,7,994
550,543,1768,7,884
1387,807,3627,10,1930
1258,403,1298,6,1298
1247,484,1801,7,1501
553,0,630,5,630
397,440,1103,6,1103
0,384,1178,4,859
197,440,1196,4,1196
0,529,1372,7,1372
371,296,1431,6,1099
0,626,1422,7,1422
985,501,1953,6,1580
0,440,1121,4,1121
0,852,2473,8,1143
417,576,1057,5,1057
1097,602,1110,5,1097
524,671,2270,8,1152
0,746,2018,9,2002
438,440,1386,6,672
0,1043,1953,8,1082
733,462,1337,8,1337
0,648,2285,8,969
1288,826,1718,8,1705
516,484,1086,5,1024
0,660,1555,7,1373
1406,567,1902,7,1902
1216,693,2514,7,1216
1086,528,1224,5,1086
602,460,1054,6,1054
854,676,2612,8,1225
599,288,902,5,876
692,484,2353,7,845
378,299,1392,6,689
899,576,1155,5,1109
180,240,1904,5,1208
0,208,1158,6,862
0,502,1362,6,611
0,429,2291,7,975
0,250,1317,4,649
1004,928,1734,8,1734
0,312,1194,6,1194
0,720,1416,5,876
1064,354,1383,5,1383
284,871,2002,5,1001
0,474,1496,8,1496
408,660,1604,5,984
0,504,764,5,680
0,476,1732,6,741
0,840,1494,7,1494
0,180,986,6,960
16,397,1145,7,1145
0,0,1484,6,742
111,525,1344,6,819
0,686,1539,5,650
0,656,2504,9,1122
0,528,747,4,600
975,583,2097,7,1108
2260,884,4676,10,3138
0,624,1176,6,698
495,0,720,4,720
0,830,1580,8,1580
1440,0,1440,4,1440
193,540,1476,6,738
20,570,1500,7,1500
0,216,1348,5,884
661,884,1200,5,864
609,514,1394,6,1394
400,484,1632,6,800
842,336,912,5,912
1128,864,2624,6,1370
0,349,1696,5,1140
0,440,1230,5,440
297,440,2727,8,853
0,429,1456,6,728
375,660,864,4,864
0,380,1709,6,970
643,528,1665,8,810
987,656,2646,7,1347
0,595,1640,7,798
440,420,1699,3,978
1116,529,1663,4,1364
1332,504,1728,5,1728
0,462,1845,6,1055
536,440,1851,6,822
0,776,1489,8,1489
612,300,864,6,864
830,276,1256,5,1256
816,816,816,5,816
454,492,1820,7,864
48,833,2127,7,1104
0,461,1065,5,1065
0,312,1200,6,1200
686,632,1208,7,1187
0,642,2482,8,1094
919,527,1720,7,1720
116,0,840,5,672
1200,496,1294,6,1278
980,450,1090,5,1090
0,420,2263,8,1141
716,440,969,5,969
0,1248,894,3,894
0,360,1028,5,1008
484,492,1958,6,979
0,895,1795,8,1795
1646,606,1940,9,1930
1084,439,1178,5,1176
156,400,1482,6,672
0,554,1428,7,1417
460,338,864,5,864
236,200,1111,5,616
310,420,1470,6,680
0,440,1116,6,1116
414,288,864,6,864
1213,498,1297,5,1297
607,264,1113,5,1113
679,577,1501,7,1490
24,614,1547,7,756
222,678,1947,7,991
0,908,1717,8,1709
504,440,1052,6,1010
862,455,2013,7,1117
0,388,1266,7,1266
240,716,2868,9,1992
300,554,2256,7,952
24,494,1414,7,1414
814,471,1721,6,928
550,434,1552,6,713
0,528,1128,4,698
522,358,1118,6,1096
936,574,1728,6,1728
1361,711,2448,8,1629
1324,452,1473,5,1437
902,400,1717,7,1156
655,400,1166,7,856
24,484,1370,8,1370
528,480,1724,6,1680
0,380,1709,7,970
358,264,987,6,483
352,216,1802,7,793
503,360,2345,6,952
663,264,1068,6,1059
165,533,1617,6,1604
777,336,1244,6,1244
0,252,1180,4,700
0,480,1223,7,600
625,612,1686,6,1686
1513,800,1646,8,1638
594,264,1144,5,864
