SalePrice,YearBuilt
122000,1872
94000,1875
265979,1880
295000,1880
117500,1880
124000,1880
168000,1882
100000,1885
122500,1885
124900,1890
159500,1890
475000,1892
107500,1892
325000,1893
106000,1898
102776,1900
140000,1900
79000,1900
119000,1900
95000,1900
90000,1900
106250,1900
160000,1900
87000,1900
145900,1900
157500,1904
163000,1905
135000,1906
127000,1908
240000,1908
133900,1910
132000,1910
81000,1910
37900,1910
112000,1910
96500,1910
110000,1910
167500,1910
117000,1910
114504,1910
85000,1910
107500,1910
139000,1910
125500,1910
85000,1910
137000,1910
122000,1910
130000,1911
135900,1912
104000,1912
118500,1912
90350,1913
58500,1914
200000,1914
67000,1914
138887,1914
163000,1914
127000,1914
128000,1914
177000,1915
153900,1915
107400,1915
85000,1915
153575,1915
128000,1915
105000,1915
139000,1915
140000,1915
155000,1915
135000,1916
98000,1916
144000,1916
109900,1916
136000,1916
160000,1916
214500,1916
121000,1916
129500,1917
185000,1918
239000,1918
235000,1918
116000,1918
130000,1918
189950,1918
112000,1918
115000,1919
180500,1919
169000,1919
67000,1920
101000,1920
86000,1920
86000,1920
128000,1920
68400,1920
60000,1920
40000,1920
89500,1920
108500,1920
110000,1920
118400,1920
104900,1920
108000,1920
157000,1920
116000,1920
137500,1920
79900,1920
120000,1920
83000,1920
78000,1920
105000,1920
200100,1920
144000,1920
113000,1920
143000,1920
197000,1920
256000,1920
34900,1920
147000,1920
154900,1921
189000,1921
89000,1921
163500,1921
140000,1921
108480,1921
55000,1922
113000,1922
99900,1922
125500,1922
91000,1922
137500,1922
191000,1922
61000,1922
165000,1923
210000,1923
207000,1923
223500,1923
85500,1923
125000,1923
100000,1923
112000,1924
109500,1924
104900,1924
127000,1924
79000,1924
109500,1924
100000,1924
125000,1925
140000,1925
107000,1925
98000,1925
88000,1925
103600,1925
178000,1925
184000,1925
136500,1925
110500,1925
73000,1925
205000,1925
161000,1925
117000,1925
103000,1925
137450,1925
102000,1926
115000,1926
152000,1926
116900,1926
119000,1926
234000,1926
96500,1926
79900,1926
102000,1926
64500,1927
115000,1927
68500,1927
135000,1928
76000,1928
145000,1928
177000,1928
105900,1928
161000,1928
149000,1928
130000,1929
120000,1929
230000,1929
132000,1929
87000,1930
139400,1930
55000,1930
87000,1930
91000,1930
120500,1930
110000,1930
162900,1930
79500,1930
79000,1931
149000,1931
169500,1931
105000,1931
127500,1931
129900,1931
159434,1932
315000,1932
220000,1932
239000,1932
359100,1934
188700,1934
114500,1934
81000,1935
381000,1935
235000,1935
52000,1935
133000,1935
84500,1935
250000,1936
170000,1936
128000,1936
141500,1936
115000,1936
106500,1936
155000,1936
60000,1936
115000,1936
134900,1937
119500,1937
175000,1937
141000,1937
89471,1937
119750,1938
100000,1938
125500,1938
91300,1938
100000,1939
119900,1939
132500,1939
140200,1939
105000,1939
179500,1939
118000,1939
311500,1939
108000,1940
219500,1940
160000,1940
119000,1940
108000,1940
139500,1940
160000,1940
126000,1940
109000,1940
76500,1940
127500,1940
244400,1940
108000,1940
82500,1940
82500,1940
120500,1940
145000,1940
140000,1940
174500,1941
113000,1941
117000,1941
266500,1941
105000,1941
100000,1941
66500,1941
52500,1941
80000,1941
128500,1941
133000,1941
131000,1941
164000,1941
87000,1941
95000,1941
177500,1942
146500,1942
113000,1945
110500,1945
80000,1945
259500,1945
98000,1945
140000,1945
84900,1946
145000,1946
121600,1946
135000,1946
200500,1946
130500,1946
39300,1946
118500,1947
80500,1947
118000,1947
159000,1947
110000,1947
225000,1948
115000,1948
127000,1948
153500,1948
132000,1948
137000,1948
169000,1948
120000,1948
160000,1948
147000,1948
91500,1948
135000,1948
97500,1948
119200,1948
87500,1949
122900,1949
135000,1949
135000,1949
143000,1949
72500,1949
108000,1949
90000,1949
133000,1949
145000,1949
131000,1949
35311,1949
152000,1950
158500,1950
82000,1950
119000,1950
109900,1950
129000,1950
109500,1950
147000,1950
119000,1950
142125,1950
243000,1950
93500,1950
128000,1950
140000,1950
98300,1950
138000,1950
124000,1950
110000,1950
125000,1950
92900,1950
164900,1951
137900,1951
139000,1951
102000,1951
141000,1951
134800,1951
124500,1952
166000,1952
123500,1952
55993,1952
82000,1952
116000,1953
149500,1953
134500,1953
110000,1953
93000,1953
225000,1953
109000,1953
217000,1953
157000,1953
167000,1953
155000,1953
123000,1953
153000,1954
165000,1954
135000,1954
119000,1954
111000,1954
113000,1954
256000,1954
144900,1954
118000,1954
93000,1954
137000,1954
105500,1954
107900,1954
139400,1954
131500,1954
136900,1954
140000,1954
224000,1954
128000,1954
117000,1954
110000,1954
132000,1954
241500,1954
93000,1954
126175,1955
135000,1955
130000,1955
139600,1955
107500,1955
82000,1955
170000,1955
145000,1955
135500,1955
153000,1955
125000,1955
190000,1955
115000,1955
118000,1955
115000,1955
165500,1955
230000,1956
127500,1956
135750,1956
139000,1956
97000,1956
135000,1956
103200,1956
168000,1956
132000,1956
128900,1956
129000,1956
112000,1956
129000,1956
135000,1956
84000,1957
200624,1957
129900,1957
144500,1957
112500,1957
207500,1957
120000,1957
257500,1957
155000,1957
145000,1957
134450,1957
166000,1957
161500,1957
141000,1957
153000,1957
150000,1957
109008,1957
156500,1957
149700,1957
121500,1957
144000,1958
60000,1958
114500,1958
139000,1958
136000,1958
110000,1958
277000,1958
139000,1958
163000,1958
130000,1958
150000,1958
120000,1958
140000,1958
129900,1958
176500,1958
137500,1958
144000,1958
172500,1958
116500,1958
157900,1958
140000,1958
139000,1958
155000,1958
145000,1958
106500,1959
150750,1959
165500,1959
159500,1959
289000,1959
148000,1959
133700,1959
124500,1959
128950,1959
